"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,9
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,11
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,7,13
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,9,16
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,10,18
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,7,12,21
"22",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,14,23
"23",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,6,9,16,25
"24",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,11,18,27
"25",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,12,20,29
"26",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,14,22,30
"27",0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,9,15,23,32
"28",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,7,10,17,25,33
"29",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,12,18,27,34
"30",0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,8,13,20,28,34
"31",0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,9,14,21,29,35
"32",0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,10,15,22,30,35
"33",0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,11,16,24,31,36
"34",0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,8,12,18,25,32,36
"35",0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,13,19,26,33,36
"36",0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,9,14,20,28,34,36
"37",0,0,0,0,0,0,0,0,1,1,1,2,3,4,7,10,15,21,29,34,37
"38",0,0,0,0,0,0,0,0,1,1,2,2,3,5,7,11,16,22,30,35,37
"39",0,0,0,0,0,0,0,0,1,1,2,2,4,5,8,11,17,23,30,35,37
"40",0,0,0,0,0,0,0,1,1,1,2,3,4,6,8,12,18,25,31,36,37
"41",0,0,0,0,0,0,0,1,1,1,2,3,4,6,9,13,19,26,32,36,37
"42",0,0,0,0,0,0,0,1,1,1,2,3,5,7,10,14,20,27,33,36,37
"43",0,0,0,0,0,0,0,1,1,2,2,3,5,7,10,15,21,27,33,36,37
"44",0,0,0,0,0,0,1,1,1,2,2,4,5,8,11,15,22,28,34,36,37
