"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"2",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
"3",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.1
"4",0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
"5",0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.7
"6",0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.9
"7",0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2
"8",0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.3,1.4,1.5,1.6,1.7,1.9,2,2.1,2.3,2.4
"9",0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.6,1.7,1.9,2,2.2,2.3,2.5,2.6
"10",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2,2.2,2.3,2.5,2.6,2.8
"11",0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.1,2.3,2.5,2.6,2.8,3
"12",0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.8,3,3.2
"13",0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4
"14",0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.6
"15",0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.3,3.5,3.8
"16",0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.2,2.5,2.7,2.9,3.2,3.4,3.7,4
"17",0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.8,3,3.3,3.6,3.9,4.2
"18",0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.9,3.2,3.4,3.7,4,4.3
"19",0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.5,2.7,3,3.3,3.6,3.9,4.2,4.5
"20",0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.7,4,4.3,4.7
"21",0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.5,4.9
