"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,1,1,2,2,4,5,7,10,14,18,24,31,38,46,54,63,72,82,92
"2",1,1,2,3,4,5,7,10,13,18,24,31,40,49,60,72,84,97,111,125,140
"3",1,2,3,4,6,8,10,14,19,25,33,42,53,65,79,93,109,125,142,160,178
"4",2,3,4,6,8,10,14,18,24,32,41,53,65,80,95,112,130,149,169,190,211
"5",3,4,5,7,10,13,17,23,30,39,50,62,77,93,111,130,150,171,193,216,240
"6",3,5,7,9,12,16,21,27,35,45,57,72,88,106,125,146,168,191,215,240,266
"7",4,6,8,11,14,18,24,31,40,51,65,80,98,117,138,161,184,209,235,262,289
"8",5,7,9,12,16,21,27,35,45,58,72,89,108,129,151,175,200,226,253,282,311
"9",6,8,11,14,18,24,31,40,50,64,79,97,117,140,163,188,215,242,271,300,331
"10",7,9,12,16,21,27,34,44,55,70,86,105,127,150,175,201,229,258,287,318,350
"11",8,10,14,18,23,30,38,48,60,75,93,113,136,160,186,214,242,272,303,335,367
"12",9,11,15,20,25,32,41,52,65,81,100,121,145,170,197,226,255,286,318,350,383
"13",10,13,17,22,28,35,45,56,70,87,107,129,153,180,208,237,268,299,332,365,399
"14",11,14,18,24,30,38,48,60,75,93,113,136,162,189,218,248,280,312,345,379,413
"15",12,15,20,26,33,41,52,65,80,98,120,144,170,198,228,259,291,324,358,392,427
"16",13,17,22,28,35,44,55,69,85,104,126,151,178,207,238,270,303,336,370,405,440
"17",14,18,23,30,38,47,59,73,90,110,133,158,186,216,247,280,313,348,382,417,452
"18",15,20,25,32,40,50,62,77,95,115,139,165,194,224,256,290,324,359,394,429,464
"19",16,21,27,34,43,53,66,81,99,121,145,172,202,233,266,299,334,369,405,440,475
"20",17,22,29,36,45,56,69,85,104,126,151,179,209,241,274,309,344,379,415,450,485
"21",19,24,30,38,48,59,73,90,109,132,158,186,217,249,283,318,353,389,425,461,495
"22",20,26,32,41,51,62,77,94,114,137,164,193,224,257,292,327,363,399,435,470,505
"23",21,27,34,43,53,66,80,98,119,143,170,200,231,265,300,336,372,408,444,480,514
"24",23,29,36,45,56,69,84,102,124,148,176,206,239,273,308,344,381,417,453,489,522
"25",24,30,38,47,59,72,88,106,128,154,182,213,246,281,316,353,389,426,462,497,531
"26",25,32,40,50,61,75,91,111,133,159,188,219,253,288,324,361,398,435,471,505,539
"27",27,34,42,52,64,78,95,115,138,165,194,226,260,296,332,369,406,443,479,513,546
"28",28,35,44,55,67,82,99,119,143,170,200,232,267,303,340,377,414,451,487,521,553
"29",30,37,46,57,70,85,103,124,148,175,206,239,274,310,347,385,422,459,494,528,560
"30",31,39,48,60,73,88,107,128,153,181,212,245,281,317,355,392,430,466,502,535,567
"31",33,41,51,62,76,92,110,132,158,186,218,252,287,324,362,400,437,474,509,542,573
"32",34,43,53,65,79,95,114,137,162,192,224,258,294,331,369,407,445,481,516,549,579
"33",36,45,55,67,82,98,118,141,167,197,229,264,301,338,376,414,452,488,523,555,584
"34",38,47,57,70,85,102,122,146,172,202,235,270,307,345,383,421,459,495,529,561,590
"35",39,48,59,72,88,105,126,150,177,208,241,277,314,352,390,428,466,502,535,567,595
"36",41,50,62,75,91,109,130,154,182,213,247,283,320,359,397,435,472,508,542,572,600
"37",43,52,64,78,94,113,134,159,187,219,253,289,327,365,404,442,479,514,547,578,605
"38",44,55,67,81,97,116,138,163,192,224,259,295,333,372,410,448,485,520,553,583,609
"39",46,57,69,83,100,120,142,168,197,229,264,301,340,378,417,455,492,526,559,588,613
"40",48,59,71,86,104,123,146,173,202,235,270,307,346,385,423,461,498,532,564,593,617
"41",50,61,74,89,107,127,151,177,207,240,276,313,352,391,430,468,504,538,569,597,621
"42",52,63,77,92,110,131,155,182,212,246,282,320,358,397,436,474,510,543,574,602,625
