"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,0,1,1,2,3,4,5,8,10,13,17,22,27,33,40,47,54,62,70
"2",0,1,1,2,3,4,5,7,10,14,18,23,29,36,44,52,62,72,82,93,105
"3",1,1,2,3,4,6,8,11,15,19,25,32,39,48,58,68,80,92,105,119,133
"4",1,2,3,4,6,8,11,14,19,25,32,40,49,59,70,83,96,110,125,140,157
"5",2,2,4,5,7,10,13,18,23,30,38,47,57,69,82,96,111,126,143,160,178
"6",2,3,4,6,9,12,16,21,28,35,44,54,66,79,93,108,124,141,159,178,197
"7",3,4,5,8,10,14,19,25,32,40,50,61,74,88,103,120,137,155,174,194,215
"8",3,5,6,9,12,16,22,28,36,45,56,68,82,97,113,131,149,169,189,210,231
"9",4,5,8,10,14,19,24,32,40,50,62,75,89,105,123,141,161,181,202,224,247
"10",4,6,9,12,16,21,27,35,44,55,68,81,97,114,132,151,172,193,215,238,262
"11",5,7,10,13,18,23,30,39,49,60,73,88,104,122,141,161,182,205,228,251,276
"12",6,8,11,15,19,25,33,42,53,65,79,94,111,130,149,171,193,216,239,264,289
"13",6,9,12,16,21,28,36,45,57,70,84,100,118,137,158,180,203,226,251,276,302
"14",7,10,13,18,23,30,39,49,61,74,90,107,125,145,166,189,212,237,262,288,314
"15",8,11,15,19,25,33,42,52,65,79,95,113,132,152,174,198,222,247,272,299,325
"16",9,12,16,21,27,35,45,56,69,84,100,119,138,160,182,206,231,256,283,310,337
"17",10,13,17,23,29,37,47,59,73,89,106,125,145,167,190,214,240,266,293,320,347
"18",10,14,18,24,31,40,50,63,77,93,111,130,151,174,198,223,249,275,302,330,358
"19",11,15,20,26,33,42,53,66,81,98,116,136,158,181,205,231,257,284,312,340,368
"20",12,16,21,28,35,45,56,70,85,103,122,142,164,188,213,239,266,293,321,349,378
"21",13,17,23,29,38,48,59,73,89,107,127,148,171,195,220,246,274,302,330,359,387
"22",14,18,24,31,40,50,63,77,93,112,132,154,177,201,227,254,282,310,339,368,396
"23",15,20,26,33,42,53,66,81,98,117,137,159,183,208,234,262,290,318,347,376,405
"24",16,21,27,35,44,55,69,84,102,121,142,165,189,215,241,269,297,326,356,385,414
"25",17,22,29,37,46,58,72,88,106,126,147,171,195,221,248,276,305,334,364,393,422
"26",18,23,30,39,49,61,75,91,110,130,153,176,201,228,255,284,313,342,372,401,430
"27",19,25,32,40,51,63,78,95,114,135,158,182,207,234,262,291,320,350,379,409,438
"28",20,26,33,42,53,66,81,99,118,140,163,188,213,241,269,298,327,357,387,417,446
"29",21,27,35,44,56,69,85,103,123,144,168,193,219,247,275,305,334,364,394,424,454
"30",22,29,37,46,58,72,88,106,127,149,173,199,225,253,282,312,342,372,402,432,461
"31",24,30,38,48,60,75,91,110,131,154,178,204,231,259,289,318,348,379,409,439,468
"32",25,32,40,51,63,78,95,114,135,159,183,210,237,266,295,325,355,386,416,446,475
"33",26,33,42,53,65,80,98,118,140,163,189,215,243,272,301,332,362,393,423,453,482
"34",27,35,44,55,68,83,101,121,144,168,194,221,249,278,308,338,369,399,430,459,488
"35",28,36,46,57,71,86,105,125,148,173,199,226,255,284,314,345,375,406,436,466,495
"36",30,38,48,59,73,89,108,129,152,177,204,232,260,290,320,351,382,413,443,472,501
"37",31,39,49,61,76,92,112,133,157,182,209,237,266,296,327,357,388,419,449,479,507
"38",32,41,51,64,78,96,115,137,161,187,214,243,272,302,333,364,395,426,456,485,513
"39",34,43,53,66,81,99,119,141,166,192,219,248,278,308,339,370,401,432,462,491,519
"40",35,44,55,68,84,102,122,145,170,197,225,254,284,314,345,376,407,438,468,497,524
"41",37,46,57,71,87,105,126,149,174,201,230,259,289,320,351,382,413,444,474,503,530
"42",38,48,59,73,90,108,130,153,179,206,235,265,295,326,357,388,420,450,480,508,535
"43",40,50,62,76,92,112,133,157,183,211,240,270,301,332,363,394,426,456,486,514,541
"44",41,51,64,78,95,115,137,162,188,216,245,276,306,338,369,400,431,462,491,519,546
"45",43,53,66,81,98,118,141,166,193,221,251,281,312,343,375,406,437,468,497,525,551
"46",44,55,68,83,101,122,145,170,197,226,256,287,318,349,381,412,443,473,502,530,556
"47",46,57,70,86,104,125,149,174,202,231,261,292,323,355,387,418,449,479,508,535,561
"48",48,59,73,89,107,129,152,179,207,236,267,298,329,361,392,424,455,485,513,540,565
"49",49,61,75,92,111,132,156,183,211,241,272,303,335,367,398,430,460,490,518,545,570
"50",51,63,78,94,114,136,160,187,216,246,277,309,340,372,404,435,466,495,524,550,574
"51",53,65,80,97,117,139,164,192,221,251,283,314,346,378,410,441,471,501,529,555,579
"52",55,68,83,100,120,143,169,196,226,256,288,320,352,384,415,447,477,506,534,559,583
"53",57,70,85,103,124,147,173,201,231,262,293,325,357,389,421,452,482,511,539,564,587
"54",59,72,88,106,127,151,177,205,235,267,299,331,363,395,427,458,488,516,543,568,591
"55",61,74,90,109,130,155,181,210,240,272,304,337,369,401,432,463,493,521,548,573,595
"56",63,77,93,112,134,159,186,215,245,277,310,342,375,406,438,469,498,526,553,577,599
"57",65,79,96,115,138,163,190,219,251,283,315,348,380,412,444,474,504,531,557,581,602
"58",67,82,99,119,141,167,194,224,256,288,321,354,386,418,449,480,509,536,562,585,606
"59",69,84,102,122,145,171,199,229,261,293,326,359,392,423,455,485,514,541,566,589,610
"60",71,87,105,125,149,175,204,234,266,299,332,365,397,429,460,490,519,546,571,593,613
"61",74,89,108,129,153,179,208,239,271,304,338,371,403,435,466,496,524,550,575,597,616
"62",76,92,111,132,157,184,213,244,277,310,343,376,409,440,471,501,529,555,579,601,620
"63",79,95,114,136,161,188,218,249,282,316,349,382,415,446,477,506,534,560,583,604,623
"64",81,98,117,140,165,192,223,254,288,321,355,388,420,452,482,511,539,564,587,608,626
"65",84,101,121,143,169,197,228,260,293,327,361,394,426,457,488,516,544,569,591,611,629
"66",86,104,124,147,173,202,233,265,299,333,367,400,432,463,493,522,548,573,595,615,632
"67",89,107,128,151,178,207,238,271,304,339,373,406,438,469,498,527,553,577,599,618,634
"68",92,110,131,155,182,211,243,276,310,345,379,412,444,474,504,532,558,582,603,621,637
"69",95,113,135,159,187,216,248,282,316,351,385,418,450,480,509,537,562,586,606,624,640
"70",98,117,139,164,191,222,254,288,322,357,391,424,455,486,515,542,567,590,610,628,642
"71",101,120,143,168,196,227,259,293,328,363,397,430,461,491,520,547,572,594,614,631,645
"72",104,124,147,172,201,232,265,299,334,369,403,436,467,497,525,552,576,598,617,633,647
"73",107,128,151,177,206,238,271,305,341,375,409,442,473,503,531,557,581,602,621,636,649
"74",111,131,155,182,211,243,277,312,347,382,416,448,479,509,536,562,585,606,624,639,651
"75",114,135,160,187,217,249,283,318,353,388,422,455,485,514,541,567,589,610,627,642,654
"76",118,140,164,192,222,255,289,324,360,395,429,461,492,520,547,571,594,613,630,644,656
"77",122,144,169,197,228,261,296,331,367,402,435,468,498,526,552,576,598,617,633,647,658
"78",126,148,174,203,234,267,302,338,374,409,442,474,504,532,557,581,602,621,636,649,659
"79",130,153,179,208,240,274,309,345,381,416,449,481,510,538,563,586,606,624,639,652,661
"80",134,158,184,214,246,280,316,352,388,423,456,487,516,543,568,591,611,628,642,654,663
"81",139,163,190,220,253,287,323,359,395,430,463,494,523,549,573,595,615,631,645,656,665
"82",143,168,196,226,259,294,330,367,403,437,470,501,529,555,579,600,619,635,648,658,666
"83",148,174,202,233,266,302,338,375,411,445,478,508,536,561,584,605,623,638,650,660,668
"84",154,179,208,240,274,310,346,383,419,453,485,515,542,567,589,609,627,641,653,662,669
"85",159,186,215,247,282,318,354,391,427,461,493,522,549,573,595,614,631,644,655,664,670
