"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,1,1,1,2,3,4,6,8,11,15,20,25,32,39,47,55,64,74,83
"2",1,1,1,2,3,4,6,8,11,15,20,26,33,42,51,61,73,85,97,111,125
"3",1,2,2,3,5,6,9,12,16,21,28,36,45,55,67,80,94,108,124,140,157
"4",2,2,3,5,6,9,12,16,21,27,35,45,56,68,82,96,112,129,147,165,184
"5",2,3,4,6,8,11,15,19,25,33,42,53,66,80,95,112,129,148,167,188,209
"6",3,4,5,7,10,13,18,23,30,39,49,61,75,90,107,125,145,165,186,208,231
"7",3,5,7,9,12,16,21,27,35,44,56,69,84,101,119,139,159,181,203,227,251
"8",4,6,8,10,14,18,24,31,39,50,62,77,93,111,130,151,173,196,220,244,269
"9",5,7,9,12,16,20,27,34,44,55,69,84,102,121,141,163,186,210,235,260,287
"10",6,8,10,14,18,23,30,38,48,61,75,92,110,130,152,174,199,224,249,276,303
"11",6,9,11,15,20,25,33,42,53,66,81,99,118,139,162,186,210,236,263,290,318
"12",7,10,13,17,22,28,36,46,57,71,88,106,126,148,171,196,222,249,276,304,333
"13",8,11,14,19,24,31,39,49,62,77,94,113,134,157,181,206,233,261,289,317,346
"14",9,12,16,20,26,33,42,53,66,82,100,120,142,165,190,216,244,272,301,330,359
"15",10,13,17,22,28,36,45,57,71,87,106,126,149,173,199,226,254,283,312,342,372
"16",11,14,18,24,30,39,49,61,75,92,112,133,156,182,208,236,264,294,323,354,384
"17",12,15,20,26,33,41,52,65,80,98,118,140,164,190,217,245,274,304,334,365,395
"18",13,17,21,28,35,44,55,68,84,103,123,146,171,197,225,254,284,314,345,375,406
"19",14,18,23,29,37,47,58,72,89,108,129,153,178,205,233,263,293,324,355,386,417
"20",15,19,25,31,40,50,62,76,93,113,135,159,185,213,242,271,302,333,364,396,427
"21",16,20,26,33,42,52,65,80,98,118,141,166,192,220,250,280,311,342,374,405,436
"22",17,22,28,35,44,55,68,84,102,123,147,172,199,228,257,288,320,351,383,415,446
"23",18,23,30,37,47,58,72,88,107,128,152,178,206,235,265,296,328,360,392,424,455
"24",19,25,31,39,49,61,75,92,111,133,158,184,213,242,273,304,336,369,401,432,463
"25",20,26,33,41,52,64,79,96,116,139,164,191,219,249,280,312,345,377,409,441,472
"26",21,27,35,44,54,67,82,100,120,144,169,197,226,256,288,320,353,385,417,449,480
"27",23,29,36,46,57,70,86,104,125,149,175,203,233,263,295,328,360,393,425,457,488
"28",24,30,38,48,59,73,89,108,130,154,181,209,239,270,302,335,368,401,433,465,495
"29",25,32,40,50,62,76,93,112,134,159,186,215,246,277,310,342,376,408,441,472,503
"30",26,33,42,52,65,79,96,116,139,164,192,221,252,284,317,350,383,416,448,480,510
"31",28,35,44,55,67,82,100,120,143,169,197,227,258,291,324,357,390,423,455,487,516
"32",29,37,46,57,70,85,103,124,148,174,203,233,265,297,331,364,397,430,462,493,523
