"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7
"6",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,9
"7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,6,8,11
"8",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,10,13
"9",0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,6,9,11,15
"10",0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,10,13,16
"11",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,6,8,11,14,18
"12",0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,9,12,16,20
"13",0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,10,14,17,22
"14",0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,6,9,11,15,19,23
"15",0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,7,10,13,16,20,25
"16",0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,10,14,17,21,26
"17",0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,9,11,15,18,23,27
"18",0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,9,12,16,20,24,28
"19",0,0,0,0,0,0,0,0,1,1,2,2,4,5,7,10,13,17,21,25,29
"20",0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,11,14,18,22,26,30
"21",0,0,0,0,0,0,0,0,1,1,2,3,4,6,9,11,15,19,23,27,31
"22",0,0,0,0,0,0,0,0,1,1,2,3,5,7,9,12,16,19,24,28,32
"23",0,0,0,0,0,0,0,1,1,2,2,4,5,7,10,13,16,20,25,29,32
"24",0,0,0,0,0,0,0,1,1,2,3,4,5,8,10,14,17,21,25,30,33
"25",0,0,0,0,0,0,0,1,1,2,3,4,6,8,11,14,18,22,26,30,33
"26",0,0,0,0,0,0,0,1,1,2,3,4,6,9,12,15,19,23,27,31,34
"27",0,0,0,0,0,0,1,1,1,2,3,5,7,9,12,16,20,24,28,32,34
"28",0,0,0,0,0,0,1,1,1,2,3,5,7,10,13,16,20,25,29,32,35
"29",0,0,0,0,0,0,1,1,2,2,4,5,8,10,13,17,21,25,29,33,35
"30",0,0,0,0,0,0,1,1,2,3,4,6,8,11,14,18,22,26,30,33,35
"31",0,0,0,0,0,0,1,1,2,3,4,6,8,11,15,18,23,27,30,34,36
"32",0,0,0,0,0,1,1,1,2,3,5,6,9,12,15,19,23,27,31,34,36
"33",0,0,0,0,0,1,1,1,2,3,5,7,9,12,16,20,24,28,32,34,36
"34",0,0,0,0,0,1,1,2,2,4,5,7,10,13,16,20,25,29,32,35,36
"35",0,0,0,0,0,1,1,2,3,4,5,8,10,13,17,21,25,29,32,35,36
"36",0,0,0,0,0,1,1,2,3,4,6,8,11,14,18,22,26,30,33,35,36
