"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"2",0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3
"3",0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
"4",0.5,0.6,0.7,0.7,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2
"5",0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2,2.1,2.1,2.2,2.2,2.3
"6",0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6
"7",0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.7,2.8
"8",0.6,0.7,0.8,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2.1,2.3,2.4,2.5,2.6,2.8,2.9,3,3.1
"9",0.7,0.8,0.9,1,1.2,1.3,1.5,1.6,1.8,1.9,2,2.1,2.3,2.4,2.5,2.7,2.8,2.9,3.1,3.2,3.3
"10",0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.7,1.8,2,2.1,2.2,2.4,2.5,2.7,2.8,3,3.1,3.3,3.4,3.6
"11",0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.7,1.9,2,2.2,2.3,2.5,2.6,2.8,3,3.1,3.3,3.5,3.6,3.8
"12",0.7,0.9,1,1.1,1.3,1.5,1.6,1.8,2,2.1,2.3,2.4,2.6,2.7,2.9,3.1,3.3,3.5,3.6,3.8,4
"13",0.8,0.9,1,1.2,1.3,1.5,1.7,1.9,2,2.2,2.4,2.5,2.7,2.9,3,3.2,3.4,3.6,3.8,4,4.2
"14",0.8,0.9,1,1.2,1.4,1.6,1.7,1.9,2.1,2.3,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4
"15",0.8,0.9,1.1,1.2,1.4,1.6,1.8,2,2.2,2.3,2.5,2.7,2.9,3.1,3.3,3.5,3.7,3.9,4.2,4.4,4.6
"16",0.8,1,1.1,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4.1,4.3,4.6,4.8
"17",0.9,1,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.8,3.1,3.3,3.5,3.7,4,4.2,4.5,4.8,5
"18",0.9,1,1.2,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.9,4.1,4.4,4.6,4.9,5.2
"19",0.9,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.5,4.8,5.1,5.4
"20",0.9,1.1,1.2,1.4,1.6,1.8,2,2.2,2.5,2.7,2.9,3.1,3.3,3.6,3.8,4.1,4.4,4.7,5,5.3,5.6
"21",0.9,1.1,1.2,1.4,1.6,1.9,2.1,2.3,2.5,2.7,2.9,3.2,3.4,3.7,3.9,4.2,4.5,4.8,5.1,5.4,5.8
"22",1,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.3,4.6,4.9,5.3,5.6,6
"23",1,1.1,1.3,1.5,1.7,1.9,2.2,2.4,2.6,2.8,3.1,3.3,3.6,3.8,4.1,4.4,4.7,5.1,5.4,5.8,6.1
"24",1,1.2,1.3,1.5,1.7,2,2.2,2.4,2.7,2.9,3.1,3.4,3.6,3.9,4.2,4.5,4.9,5.2,5.6,5.9,6.3
"25",1,1.2,1.4,1.6,1.8,2,2.2,2.5,2.7,3,3.2,3.5,3.7,4,4.3,4.7,5,5.3,5.7,6.1,6.5
"26",1,1.2,1.4,1.6,1.8,2,2.3,2.5,2.8,3,3.3,3.5,3.8,4.1,4.4,4.8,5.1,5.5,5.9,6.3,6.7
"27",1.1,1.2,1.4,1.6,1.8,2.1,2.3,2.6,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.9,5.2,5.6,6,6.4,6.9
