"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3
"26",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3
"27",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3
"28",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3
"29",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4
"30",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4
"31",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4
"32",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
"33",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
"34",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5
"35",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5
"36",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5
"37",0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5
"38",0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,6
"39",0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6
"40",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,5,6
"41",0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,5,6
"42",0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,5,6,7
"43",0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,5,6,7
"44",0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,5,6,7
