"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,1,1,2,2,3,5,8,11,17,24,33,44,56,70,85,101,118,136,155,174
"2",1,2,2,3,5,7,10,14,20,28,38,51,66,82,100,120,140,162,184,206,229
"3",2,2,3,5,7,10,14,20,28,38,51,66,84,103,124,146,170,194,218,243,268
"4",2,3,5,7,10,13,19,26,35,47,62,80,100,121,144,169,194,220,246,272,299
"5",3,4,6,9,12,17,23,31,42,56,73,92,114,137,162,188,215,242,270,297,325
"6",4,5,8,10,14,20,27,37,49,64,82,103,127,152,178,205,233,262,291,319,347
"7",5,7,9,12,17,23,31,42,55,72,92,114,139,165,193,221,250,280,309,338,367
"8",5,8,10,14,19,26,35,47,62,80,101,125,150,178,207,236,266,296,326,356,385
"9",6,9,12,16,22,30,40,52,68,87,109,134,161,190,219,250,281,311,342,372,401
"10",7,10,14,18,25,33,44,57,74,94,118,144,172,201,232,263,294,325,356,386,416
"11",8,11,15,20,27,36,48,62,80,101,126,153,182,212,243,275,307,338,370,400,429
"12",9,12,17,22,30,39,52,67,86,108,134,162,191,222,254,287,319,351,382,413,442
"13",10,14,18,24,32,43,56,72,92,115,142,170,201,232,265,298,330,362,394,424,454
"14",11,15,20,27,35,46,60,77,98,122,149,179,210,242,275,308,341,374,405,436,465
"15",12,16,22,29,38,49,64,82,104,129,157,187,219,251,285,318,352,384,416,446,475
"16",13,17,23,31,40,53,68,87,109,135,164,195,227,261,294,328,362,394,426,456,485
"17",14,19,25,33,43,56,72,92,115,142,171,203,236,269,303,338,371,404,435,466,494
"18",15,20,27,35,46,60,76,97,121,148,178,210,244,278,312,347,380,413,445,475,503
"19",16,21,28,37,49,63,81,102,126,154,185,218,252,286,321,355,389,422,453,483,511
"20",17,23,30,40,52,66,85,107,132,161,192,225,260,294,329,364,398,430,462,491,519
