"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6
"14",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,7
"15",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,8
"16",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,7,9
"17",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,6,8,10
"18",0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,7,9,12
"19",0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,10,13
"20",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,14
"21",0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,7,9,12,15
"22",0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,10,13,16
"23",0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,14,18
"24",0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,11,15,19
"25",0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,9,12,16,20
"26",0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,6,8,10,13,17,21
"27",0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,14,18,22
"28",0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,12,15,19,23
"29",0,0,0,0,0,0,0,0,1,1,2,2,3,4,6,7,10,12,16,20,24
"30",0,0,0,0,0,0,0,1,1,1,2,2,3,5,6,8,10,13,16,20,25
"31",0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,14,17,21,26
"32",0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,11,14,18,22,27
"33",0,0,0,0,0,0,0,1,1,2,2,3,4,6,7,9,12,15,19,23,28
"34",0,0,0,0,0,0,1,1,1,2,2,3,4,6,8,10,13,16,20,24,28
"35",0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,10,13,17,21,25,29
"36",0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,11,14,17,21,26,30
"37",0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,12,15,18,22,26,30
"38",0,0,0,0,0,0,1,1,2,2,3,4,6,7,10,12,15,19,23,27,31
"39",0,0,0,0,0,1,1,1,2,2,3,5,6,8,10,13,16,20,24,28,32
"40",0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,13,17,20,24,29,32
"41",0,0,0,0,0,1,1,1,2,3,4,5,7,9,11,14,17,21,25,29,33
"42",0,0,0,0,0,1,1,2,2,3,4,5,7,9,12,14,18,22,26,30,33
"43",0,0,0,0,1,1,1,2,2,3,4,6,7,9,12,15,19,22,27,30,33
"44",0,0,0,0,1,1,1,2,2,3,4,6,8,10,13,16,19,23,27,31,34
