"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,1,1,1,2,3,4,6,8,11,15,20,26,34,42,51,61,72,82,94
"2",1,1,1,2,3,4,5,8,11,15,20,26,34,43,54,66,79,93,108,123,139
"3",1,1,2,3,4,6,8,11,15,21,27,35,45,57,71,85,101,118,136,155,174
"4",2,2,3,4,5,8,11,15,20,26,35,44,56,70,86,103,121,140,161,182,204
"5",2,3,4,5,7,10,13,18,24,32,41,53,66,82,99,118,139,160,183,206,230
"6",3,3,5,6,9,12,16,22,29,38,48,61,76,93,112,133,155,178,203,228,254
"7",3,4,6,8,10,14,19,25,33,43,55,69,85,103,124,146,170,195,221,248,275
"8",4,5,7,9,12,16,21,29,38,48,61,76,94,114,136,159,184,211,238,266,295
"9",4,6,8,10,13,18,24,32,42,54,67,84,102,123,147,172,198,225,254,283,313
"10",5,6,9,11,15,20,27,36,46,59,74,91,111,133,157,183,211,239,269,299,330
"11",6,7,10,13,17,22,30,39,51,64,80,98,119,142,168,195,223,253,283,314,346
"12",6,8,11,14,19,25,33,43,55,69,86,105,127,151,178,206,235,266,297,329,361
"13",7,9,12,16,20,27,36,46,59,74,92,112,134,160,187,216,247,278,310,342,375
"14",8,10,13,17,22,29,38,50,63,79,98,119,142,168,197,226,258,290,322,355,388
"15",8,11,14,18,24,32,41,53,68,84,104,125,150,177,206,236,268,301,334,368,401
"16",9,12,15,20,26,34,44,57,72,89,109,132,157,185,215,246,279,312,345,379,413
"17",10,13,16,21,28,36,47,60,76,94,115,138,164,193,223,256,289,322,356,391,425
"18",10,14,18,23,30,39,50,64,81,99,121,145,171,201,232,265,298,333,367,402,436
"19",11,15,19,24,32,41,53,68,85,104,127,151,179,208,240,274,308,342,377,412,446
"20",12,16,20,26,34,44,56,71,89,109,132,158,186,216,249,282,317,352,387,422,456
"21",13,17,21,28,36,46,59,75,93,114,138,164,193,224,257,291,326,361,397,432,466
"22",14,18,23,29,38,49,62,79,98,119,143,170,199,231,265,300,335,371,406,441,475
"23",14,19,24,31,40,51,65,82,102,124,149,176,206,238,273,308,343,379,415,450,484
"24",15,20,25,33,42,54,68,86,106,129,155,182,213,246,280,316,352,388,424,459,493
"25",16,21,27,34,44,56,71,90,111,134,160,189,220,253,288,324,360,396,432,467,501
"26",17,22,28,36,46,59,75,93,115,139,166,195,226,260,295,332,368,405,440,475,509
"27",18,23,29,38,48,61,78,97,119,144,171,201,233,267,303,339,376,413,448,483,516
"28",19,24,31,40,50,64,81,101,124,149,177,207,239,274,310,347,384,420,456,491,523
"29",20,25,32,41,53,67,84,105,128,154,182,213,246,281,317,354,391,428,464,498,530
"30",21,27,34,43,55,70,87,109,133,159,188,219,252,288,324,361,399,435,471,505,537
"31",22,28,35,45,57,72,91,112,137,164,193,225,259,294,331,369,406,443,478,512,544
"32",23,29,37,47,59,75,94,116,141,169,199,231,265,301,338,376,413,450,485,518,550
"33",24,30,38,49,62,78,97,120,146,174,204,237,271,307,345,383,420,457,492,525,556
"34",25,31,40,51,64,81,101,124,150,179,210,243,277,314,352,390,427,463,498,531,562
"35",26,33,42,53,67,84,104,128,155,184,215,248,284,321,358,396,434,470,505,537,567
"36",27,34,43,55,69,87,108,132,159,189,221,254,290,327,365,403,440,476,511,543,572
"37",28,35,45,57,71,89,111,136,164,194,226,260,296,333,372,410,447,483,517,549,578
"38",29,37,47,59,74,92,115,140,168,199,232,266,302,340,378,416,453,489,523,554,583
"39",30,38,48,61,76,95,118,144,173,204,237,272,308,346,384,422,459,495,529,559,587
"40",31,40,50,63,79,99,122,148,178,209,243,278,314,352,391,429,466,501,534,565,592
"41",32,41,52,65,82,102,125,153,182,214,248,283,320,358,397,435,472,507,540,570,596
"42",34,42,54,67,84,105,129,157,187,219,254,289,326,365,403,441,478,513,545,574,601
"43",35,44,55,70,87,108,133,161,192,225,259,295,332,371,409,447,484,518,550,579,605
"44",36,45,57,72,90,111,136,165,196,230,265,301,338,377,415,453,489,524,555,584,609
"45",37,47,59,74,92,114,140,169,201,235,270,307,344,383,421,459,495,529,560,588,612
"46",39,49,61,76,95,118,144,174,206,240,276,312,350,389,427,465,501,534,565,592,616
"47",40,50,63,79,98,121,148,178,211,245,281,318,356,395,433,471,506,539,570,596,620
"48",41,52,65,81,101,124,152,183,216,251,287,324,362,401,439,476,511,544,574,600,623
"49",43,54,67,84,104,128,156,187,221,256,292,330,368,407,445,482,517,549,579,604,626
"50",44,55,69,86,107,131,160,192,226,261,298,336,374,412,451,487,522,554,583,608,629
"51",45,57,71,89,110,135,164,196,231,266,303,341,380,418,456,493,527,559,587,612,632
"52",47,59,73,91,113,138,168,201,236,272,309,347,386,424,462,498,532,563,591,615,635
"53",48,61,76,94,116,142,172,205,241,277,315,353,391,430,468,504,537,568,595,618,638
"54",50,62,78,97,119,146,176,210,246,283,320,359,397,436,473,509,542,572,599,622,640
"55",51,64,80,99,122,150,181,215,251,288,326,364,403,441,479,514,547,577,603,625,643
"56",53,66,82,102,126,153,185,220,256,294,332,370,409,447,484,519,552,581,606,628,645
