"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"57",55,68,85,105,129,157,189,224,261,299,338,376,415,453,490,524,556,585,610,631,647
"58",56,70,87,108,132,161,194,229,267,305,343,382,420,458,495,529,561,589,613,634,650
"59",58,72,90,111,136,165,198,234,272,310,349,388,426,464,500,534,565,593,617,636,652
"60",60,74,92,114,139,169,203,239,277,316,355,394,432,469,506,539,570,597,620,639,654
"61",62,77,95,117,143,173,208,244,283,322,361,399,438,475,511,544,574,601,623,641,656
"62",63,79,98,120,147,178,212,250,288,328,367,405,443,481,516,549,578,604,626,644,657
"63",65,81,100,123,150,182,217,255,294,333,372,411,449,486,521,553,582,608,629,646,659
"64",67,83,103,127,154,186,222,260,300,339,378,417,455,492,526,558,587,611,632,648,661
"65",69,86,106,130,158,191,227,266,305,345,384,423,461,497,531,563,591,615,635,650,662
"66",71,88,109,133,162,195,232,271,311,351,390,429,466,502,536,567,595,618,637,652,664
"67",73,91,112,137,166,200,237,277,317,357,396,435,472,508,541,572,598,621,640,654,665
"68",76,93,115,141,171,205,242,282,323,363,403,441,478,513,546,576,602,624,642,656,666
"69",78,96,118,144,175,210,248,288,329,369,409,447,484,519,551,580,606,628,645,658,667
"70",80,99,121,148,179,215,253,294,335,375,415,453,490,524,556,585,610,631,647,660,669
"71",82,102,125,152,184,220,259,300,341,382,421,459,495,529,561,589,613,633,649,661,670
"72",85,105,128,156,188,225,264,306,347,388,427,465,501,535,566,593,617,636,652,663,671
"73",87,108,132,160,193,230,270,312,354,395,434,471,507,540,570,597,620,639,654,664,672
"74",90,111,135,165,198,236,276,318,360,401,440,477,513,545,575,601,624,642,656,666,672
"75",93,114,139,169,203,241,282,325,367,408,447,484,518,551,580,605,627,644,658,667,673
"76",96,117,143,174,208,247,289,331,374,414,453,490,524,556,584,609,630,647,659,668,674
"77",99,121,147,178,214,253,295,338,380,421,460,496,530,561,589,613,633,649,661,669,675
"78",102,124,152,183,219,259,302,345,387,428,467,503,536,566,594,617,636,651,663,670,675
"79",105,128,156,188,225,265,308,352,395,435,473,509,542,572,598,621,639,654,664,671,676
"80",108,132,161,194,231,272,315,359,402,442,480,515,548,577,603,624,642,656,666,672,676
"81",112,136,165,199,237,279,322,367,409,450,487,522,554,582,607,628,645,658,667,673,677
"82",115,141,170,205,244,286,330,374,417,457,494,528,559,587,611,632,648,660,669,674,677
"83",119,145,176,211,250,293,338,382,425,465,501,535,565,592,616,635,650,662,670,675,678
"84",123,150,181,217,257,301,345,390,433,472,509,542,571,598,620,639,653,664,671,676,678
"85",128,155,187,224,265,308,354,399,441,480,516,548,577,603,624,642,656,665,672,676,678
"86",132,160,193,231,272,317,362,407,450,489,524,555,583,608,628,645,658,667,673,677,679
"87",137,166,200,238,280,325,371,416,458,497,531,562,589,613,633,648,660,669,674,677,679
"88",142,172,207,246,289,334,381,426,468,505,539,569,596,618,637,651,663,670,675,678,679
"89",148,179,214,254,298,344,391,436,477,514,548,577,602,623,641,655,665,672,676,678,679
"90",154,186,222,263,308,354,401,446,487,524,556,584,608,628,645,657,667,673,677,679,680
"91",161,194,231,273,318,365,412,457,497,533,564,591,614,633,649,660,669,674,677,679,680
"92",168,202,241,284,330,377,424,468,508,543,573,599,621,639,653,663,670,675,678,679,680
"93",177,212,251,295,342,390,437,481,520,554,583,607,627,644,656,666,672,676,678,679,680
"94",186,222,263,309,356,405,451,494,532,565,592,615,634,649,660,668,674,677,679,680,680
"95",197,235,277,324,372,421,467,509,546,577,602,624,641,654,664,671,675,678,679,680,680
"96",210,250,294,341,390,439,485,525,560,590,613,632,647,659,667,673,677,679,679,680,680
"97",227,268,314,362,412,461,505,544,577,604,625,642,655,664,671,675,678,679,680,680,680
"98",249,293,341,390,440,488,531,567,597,620,638,652,662,669,674,677,679,680,680,680,680
"99",285,332,382,433,482,527,566,597,622,640,654,663,670,675,677,679,680,680,680,680,680
