"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
"1",0,0,1,1,2,3,4,6,9,13,19,27,36,47,60,75,91,108,125,144,163
"2",1,1,2,2,4,5,8,12,17,23,32,43,56,71,89,108,128,149,171,194,217
"3",1,2,3,4,6,8,12,17,23,32,43,56,72,91,111,133,156,180,205,230,256
"4",2,3,4,5,7,11,15,22,30,40,53,68,87,107,130,154,180,206,233,260,287
"5",2,3,5,7,10,14,19,27,36,48,62,80,100,123,147,173,200,228,256,285,313
"6",3,4,6,8,12,16,23,31,42,56,72,90,112,136,163,190,219,248,277,307,336
"7",4,5,7,10,14,19,27,36,48,63,80,100,124,149,177,206,235,266,296,326,356
"8",4,6,8,11,16,22,30,41,54,70,89,110,135,162,190,220,251,282,313,344,374
"9",5,7,9,13,18,25,34,46,60,77,97,119,145,173,203,234,265,297,329,360,390
"10",5,8,10,14,20,28,38,50,66,84,104,128,155,184,215,247,279,311,343,375,406
"11",6,8,12,16,22,31,41,55,71,90,112,137,165,195,226,259,292,324,357,389,419
"12",7,9,13,18,24,33,45,59,77,97,120,146,174,205,237,270,304,337,370,402,432
"13",8,10,14,20,27,36,49,64,82,103,127,154,183,215,248,282,315,349,382,414,445
"14",8,11,16,21,29,39,52,69,88,110,134,162,192,224,258,292,326,360,393,425,456
"15",9,12,17,23,31,42,56,73,93,116,142,170,201,234,268,302,337,371,404,436,467
"16",10,13,18,25,34,45,60,78,99,122,149,178,209,243,277,312,347,381,414,446,477
"17",11,14,20,27,36,48,64,82,104,128,156,185,217,251,286,322,357,391,424,456,486
"18",11,16,21,28,38,51,67,87,109,135,162,193,226,260,295,331,366,400,433,465,495
"19",12,17,22,30,41,54,71,91,115,141,169,200,233,268,304,340,375,409,442,474,504
"20",13,18,24,32,43,57,75,96,120,147,176,207,241,276,312,348,384,418,451,482,512
"21",14,19,25,34,46,60,79,101,125,153,182,215,249,284,321,357,392,427,459,490,519
"22",15,20,27,36,48,64,83,105,131,159,189,222,256,292,329,365,400,435,467,498,527
"23",16,21,28,38,51,67,86,110,136,165,196,229,264,300,337,373,408,442,475,505,534
"24",17,22,30,40,53,70,90,114,141,170,202,236,271,307,344,381,416,450,482,512,540
"25",18,24,31,42,56,73,94,119,146,176,208,242,278,315,352,388,424,457,489,519,547
"26",18,25,33,44,58,76,98,123,152,182,215,249,285,322,359,396,431,465,496,526,553
"27",19,26,35,46,61,80,102,128,157,188,221,256,292,329,366,403,438,471,503,532,559
"28",20,27,36,48,64,83,106,133,162,194,227,262,299,336,373,410,445,478,509,538,564
"29",21,29,38,50,66,86,110,137,167,200,233,269,306,343,380,417,452,485,516,544,570
"30",22,30,40,53,69,89,114,142,173,205,240,275,312,350,387,424,458,491,522,550,575
"31",23,31,41,55,72,93,118,147,178,211,246,282,319,357,394,430,465,497,527,555,580
"32",24,33,43,57,74,96,122,151,183,217,252,288,325,363,400,437,471,503,533,560,584
"33",26,34,45,59,77,100,126,156,188,223,258,294,332,370,407,443,477,509,538,565,589
"34",27,35,47,61,80,103,130,161,194,228,264,301,338,376,413,449,483,515,544,570,593
"35",28,37,48,64,83,107,134,165,199,234,270,307,345,382,420,455,489,520,549,575,597
"36",29,38,50,66,86,110,138,170,204,240,276,313,351,389,426,461,495,526,554,579,601
"37",30,40,52,68,89,114,143,175,209,245,282,319,357,395,432,467,500,531,559,584,605
"38",31,41,54,71,92,117,147,180,215,251,288,325,363,401,438,473,506,536,563,588,609
"39",32,43,56,73,95,121,151,185,220,257,294,331,369,407,444,478,511,541,568,592,613
"40",33,44,58,76,98,124,155,189,225,262,300,337,375,413,449,484,516,546,572,596,616
"41",35,46,60,78,101,128,160,194,231,268,306,343,381,419,455,489,521,550,577,600,619
"42",36,47,62,81,104,132,164,199,236,274,311,349,387,425,461,495,526,555,581,603,622
"43",37,49,64,83,107,136,168,204,241,279,317,355,393,430,466,500,531,560,585,607,625
"44",39,51,66,86,110,139,173,209,247,285,323,361,399,436,472,505,536,564,589,610,628
"45",40,52,68,89,114,143,177,214,252,291,329,367,405,442,477,510,541,568,592,613,631
"46",41,54,70,91,117,147,182,219,257,296,335,373,410,447,482,515,545,572,596,617,634
"47",43,56,73,94,120,151,186,224,263,302,341,379,416,453,488,520,550,576,600,620,636
"48",44,58,75,97,124,155,191,229,268,308,346,384,422,458,493,525,554,580,603,623,639
"49",45,59,77,100,127,159,195,234,274,313,352,390,427,464,498,530,559,584,607,626,641
"50",47,61,79,102,130,163,200,239,279,319,358,396,433,469,503,534,563,588,610,628,643
"51",48,63,82,105,134,167,205,244,285,325,364,402,439,474,508,539,567,592,613,631,646
"52",50,65,84,108,138,172,209,250,290,330,369,407,444,479,513,543,571,595,616,633,648
"53",51,67,87,111,141,176,214,255,296,336,375,413,450,485,518,548,575,599,619,636,650
"54",53,69,89,114,145,180,219,260,301,342,381,419,455,490,522,552,579,602,622,638,651
"55",55,71,92,118,149,184,224,265,307,348,387,424,460,495,527,557,583,606,625,641,653
"56",56,73,94,121,152,189,229,271,313,353,392,430,466,500,532,561,586,609,628,643,655
"57",58,75,97,124,156,193,234,276,318,359,398,435,471,505,536,565,590,612,630,645,657
"58",60,77,100,127,160,198,239,282,324,365,404,441,476,510,541,569,594,615,633,647,658
"59",61,80,102,131,164,202,244,287,330,371,410,447,482,515,545,573,597,618,635,649,660
"60",63,82,105,134,168,207,249,293,336,377,415,452,487,520,550,577,601,621,638,651,661
"61",65,84,108,137,172,212,255,298,341,382,421,458,492,524,554,581,604,624,640,653,662
"62",67,87,111,141,177,217,260,304,347,388,427,463,497,529,559,585,607,626,642,654,664
"63",69,89,114,145,181,222,265,310,353,394,433,469,502,534,563,588,611,629,644,656,665
"64",71,92,117,148,185,226,271,315,359,400,438,474,507,539,567,592,614,632,646,658,666
"65",73,94,120,152,190,232,276,321,365,406,444,480,513,543,571,596,617,634,648,659,667
"66",75,97,124,156,194,237,282,327,371,412,450,485,518,548,575,599,620,637,650,661,668
"67",77,99,127,160,199,242,287,333,377,418,456,490,523,552,579,603,623,639,652,662,669
"68",80,102,130,164,204,247,293,339,383,424,461,496,528,557,583,606,626,642,654,663,670
"69",82,105,134,168,208,253,299,345,389,430,467,501,533,562,587,610,628,644,656,665,671
"70",84,108,137,173,213,258,305,352,396,436,473,507,538,566,591,613,631,646,657,666,672
"71",87,111,141,177,218,264,311,358,402,442,479,512,543,570,595,616,634,648,659,667,673
"72",89,114,145,181,224,270,317,364,408,448,485,518,548,575,599,619,637,650,661,668,673
"73",92,117,149,186,229,275,324,371,415,455,491,523,553,579,603,623,639,652,662,669,674
"74",95,121,153,191,234,282,330,377,421,461,497,529,557,583,606,626,642,654,663,670,675
"75",97,124,157,196,240,288,337,384,428,467,503,534,562,588,610,629,644,656,665,671,675
"76",100,128,161,201,246,294,343,391,434,474,508,539,567,592,614,632,646,658,666,672,676
"77",103,131,166,206,252,300,350,398,441,480,514,545,572,596,617,635,649,659,667,673,676
"78",107,135,170,211,258,307,357,405,448,487,520,550,577,600,621,637,651,661,668,673,677
"79",110,139,175,217,264,314,364,412,455,493,526,556,582,604,624,640,653,663,670,674,677
"80",113,144,180,223,271,321,371,419,462,500,533,561,586,608,627,643,655,664,671,675,677
