language,form,measure,min_value,max_value
eng,wg,comp,0,396
eng,wg,earlygest,0,18
eng,wg,lategest,0,45
eng,wg,phrases,0,28
eng,wg,prod,0,396
eng,wg,totgest,0,63
eng,ws,complex,0,37
eng,ws,M3L,0,17
eng,ws,prod,0,680
eng,ws,wordend2,0,45
eng,ws,wordforms,0,25
spa,wg,comp,0,428
spa,wg,earlygest,0,21
spa,wg,lategest,0,43
spa,wg,phrases,0,28
spa,wg,prod,0,428
spa,wg,totgest,0,64
spa,ws,complex,0,37
spa,ws,M3L,0,12
spa,ws,prod,0,680
